Index,FP32_Value,INT8_Value
76260,-0.057407185,-4.0
98281,-0.005746994,-0.0
23263,-0.11925114,-8.0
95047,-0.010535594,-1.0
73484,-0.016943354,-1.0
74833,0.30017778,19.0
24821,0.18622868,12.0
62038,-0.09328302,-6.0
67409,0.053455554,3.0
4367,-0.022711031,-1.0
60999,-0.037561387,-2.0
90016,0.057188604,4.0
10230,-0.025662152,-2.0
82657,0.12544918,8.0
60258,-0.031955797,-2.0
47114,-0.108616136,-7.0
93634,0.08642434,6.0
92071,-0.09106541,-6.0
14451,0.15840326,10.0
89041,0.20443918,13.0
3396,0.1565561,10.0
71283,-0.006317127,-0.0
40827,0.15129144,10.0
52437,0.06987272,4.0
46417,0.16715471,11.0
40533,0.052728917,3.0
22571,-0.17958154,-11.0
12213,-0.07564981,-5.0
54469,0.035224214,2.0
40940,0.03717044,2.0
48888,-0.006725298,-0.0
67922,-0.14431532,-9.0
35167,0.021995507,1.0
50949,-0.07947979,-5.0
89657,-0.14227398,-9.0
24344,-0.07923201,-5.0
92459,0.062052995,4.0
79890,0.17054708,11.0
18707,0.10281741,7.0
4255,0.011963662,1.0
68675,0.039933436,3.0
62256,-0.27625537,-18.0
84975,0.1301974,8.0
98940,-0.036301777,-2.0
90020,0.022433383,1.0
32107,0.23608646,15.0
88901,-0.0338272,-2.0
22200,-0.015127549,-1.0
10089,0.14733738,9.0
60870,0.23990832,15.0
86775,0.28250808,18.0
89107,-0.008685047,-1.0
71789,-0.117516704,-8.0
60060,0.0027785813,0.0
8984,0.16198255,10.0
64332,0.043185808,3.0
98598,0.12612376,8.0
50679,0.07273519,5.0
13976,0.043120597,3.0
30671,0.0009950667,0.0
14936,-0.10156653,-7.0
6318,-0.148058,-9.0
59244,-0.024814472,-2.0
37776,-0.032427352,-2.0
25041,-0.027405888,-2.0
81587,0.09141698,6.0
4709,-0.014812742,-1.0
14007,-0.090118885,-6.0
4252,-0.024993071,-2.0
22765,-0.00089776947,-0.0
85094,0.06387429,4.0
26143,0.07805943,5.0
11088,-0.032889023,-2.0
53343,0.021633996,1.0
73012,0.004977218,0.0
86522,-0.1300185,-8.0
43280,0.05158106,3.0
20294,-0.060339447,-4.0
59941,0.05689428,4.0
54343,0.24472852,16.0
