time,ch1,ch2,ch3,ch4,ch5,ch1_Spike,ch2_Spike,ch3_Spike,ch4_Spike,ch5_Spike
0.129796,0.028389,0.048449,0.007421,-0.010041,0.01478,0,0,0,0,0
0.129798,0.027742,0.046508,0.007744,-0.00907,0.016398,0,0,0,0,0
0.1298,0.027742,0.045214,0.007421,-0.008747,0.016722,0,0,0,0,0
0.129802,0.028065,0.042949,0.007097,-0.0081,0.016722,0,0,0,0,0
0.129804,0.028065,0.041331,0.00645,-0.008424,0.017045,0,0,0,0,0
0.129806,0.028712,0.039389,0.00645,-0.00907,0.016398,0,0,0,0,0
0.129808,0.029683,0.037448,0.00645,-0.010041,0.016722,0,0,0,0,0
0.12981,0.029683,0.035506,0.005803,-0.011011,0.016722,0,0,0,0,0
0.1298119999999999,0.029683,0.032594,0.005803,-0.011657,0.016398,0,0,0,0,0
0.1298139999999999,0.028712,0.030652,0.006127,-0.012304,0.016722,0,0,0,0,0
0.129816,0.027418,0.030005,0.006127,-0.012628,0.017045,0,0,0,0,0
0.129818,0.0258,0.028387,0.005803,-0.012951,0.016722,0,0,0,0,0
0.12982,0.024183,0.027093,0.004833,-0.013598,0.016722,0,0,0,0,0
0.129822,0.022888,0.026769,0.003539,-0.014245,0.016722,0,0,0,0,0
0.129824,0.021918,0.025798,0.001922,-0.015538,0.015751,0,0,0,0,0
0.129826,0.020947,0.025475,0.000628,-0.016508,0.015104,0,0,0,0,0
0.129828,0.0203,0.024181,-0.000342,-0.017802,0.014133,0,0,0,0,0
0.12983,0.019653,0.022886,-0.000989,-0.019095,0.013486,0,0,0,0,0
0.129832,0.018035,0.022563,-0.002283,-0.021036,0.012839,0,0,0,0,0
0.129834,0.016741,0.022886,-0.00293,-0.022653,0.011544,0,0,0,0,0
0.129836,0.015123,0.023533,-0.002607,-0.02427,0.009926,0,0,0,0,0
0.129838,0.013506,0.025151,-0.003253,-0.026533,0.007661,0,0,0,0,0
0.12984,0.012211,0.026446,-0.003577,-0.02815,0.004748,0,0,0,0,0
0.129842,0.010594,0.027093,-0.003577,-0.031061,0.001188,0,0,0,0,0
0.129844,0.009623,0.027416,-0.002607,-0.033325,-0.002048,0,0,0,0,0
0.129846,0.008005,0.027416,-0.001636,-0.035265,-0.005284,0,0,0,0,0
0.129848,0.005417,0.026122,-0.000666,-0.036235,-0.00852,0,0,0,0,0
0.12985,0.003152,0.025475,0.000628,-0.036882,-0.010785,0,0,0,0,0
0.129852,-8.3218e-05,0.024504,0.001922,-0.036559,-0.01208,0,0,0,0,0
0.129854,-0.002348,0.023533,0.002892,-0.035912,-0.013374,0,0,0,0,0
0.129856,-0.00526,0.024504,0.004186,-0.035265,-0.014345,0,0,0,0,0
0.129858,-0.006878,0.026446,0.005157,-0.035588,-0.01564,0,0,0,0,0
0.12986,-0.008172,0.028064,0.006127,-0.035912,-0.017258,0,0,0,0,0
